,codigo_municipio,Total
0,1100015,13.7
1,1100023,11.5
2,1100031,7.7
3,1100049,5.4
4,1100056,7.2
5,1100064,6.2
6,1100072,10
7,1100080,19.9
8,1100098,9
9,1100106,21.7
10,1100114,6.5
11,1100122,8.4
12,1100130,15.2
13,1100148,4.6
14,1100155,10.7
15,1100189,6.9
16,1100205,12.2
17,1100254,6.4
18,1100262,16.8
19,1100288,6.2
20,1100296,4.8
21,1100304,8.4
22,1100320,5.7
23,1100338,19.6
24,1100346,8.4
25,1100379,15.5
26,1100403,14.1
27,1100452,9
28,1100502,7.9
29,1100601,10.8
30,1100700,16.3
31,1100809,21
32,1100908,9.6
33,1100924,12.8
34,1100940,14.7
35,1101005,12.7
36,1101104,12.8
37,1101203,5.7
38,1101302,12.1
39,1101401,17.5
40,1101435,13.4
41,1101450,11
42,1101468,8.5
43,1101476,5.7
44,1101484,5.7
45,1101492,7.8
46,1101500,7.9
47,1101559,10.7
48,1101609,9.5
49,1101708,10.5
50,1101757,12
51,1101807,11.8
52,1200013,18.7
53,1200054,40.7
54,1200104,13.5
55,1200138,25.3
56,1200179,24.9
57,1200203,18
58,1200252,18.3
59,1200302,37.3
60,1200328,34.1
61,1200336,21.7
62,1200344,35.7
63,1200351,32.3
64,1200385,23.6
65,1200393,29.8
66,1200401,13.6
67,1200427,18.7
68,1200435,31.8
69,1200450,19.1
70,1200500,28.2
71,1200609,33.8
72,1200708,27.3
73,1200807,26.1
74,1300029,27.1
75,1300060,21.8
76,1300086,15.2
77,1300102,14.4
78,1300144,24.3
79,1300201,32.2
80,1300300,23.1
81,1300409,23.1
82,1300508,14.5
83,1300607,14.2
84,1300631,26.8
85,1300680,17.1
86,1300706,17.8
87,1300805,20.9
88,1300839,22.4
89,1300904,32.2
90,1301001,21.9
91,1301100,20.1
92,1301159,20.7
93,1301209,18.9
94,1301308,22
95,1301407,21.7
96,1301506,33.2
97,1301605,26.2
98,1301654,23.1
99,1301704,18.1
100,1301803,35.7
101,1301852,20.7
102,1301902,11.1
103,1301951,32.4
104,1302009,13.6
105,1302108,35.9
106,1302207,37.1
107,1302306,26.8
108,1302405,27.2
109,1302504,13.8
110,1302553,17.1
111,1302603,10.8
112,1302702,16.7
113,1302801,30.5
114,1302900,24.3
115,1303007,13.7
116,1303106,21
117,1303205,17.4
118,1303304,18
119,1303403,11.2
120,1303502,48.1
121,1303536,20.9
122,1303569,18.7
123,1303601,21.1
124,1303700,25.3
125,1303809,26.8
126,1303908,20
127,1303957,14.3
128,1304005,15.6
129,1304062,11.4
130,1304104,31.2
131,1304203,21
132,1304237,19.1
133,1304260,31.3
134,1304302,11.6
135,1304401,16.6
136,1400027,30.2
137,1400050,34.8
138,1400100,14.2
139,1400159,21.2
140,1400175,17.1
141,1400209,25.2
142,1400233,23.1
143,1400282,26.6
144,1400308,19.5
145,1400407,17.1
146,1400456,14.8
147,1400472,21.5
148,1400506,21.8
149,1400605,15.7
150,1400704,25.7
151,1500107,19.5
152,1500131,18.4
153,1500206,31.9
154,1500305,43.1
155,1500347,28.8
156,1500404,28.6
157,1500503,33
158,1500602,20.2
159,1500701,42.7
160,1500800,17.1
161,1500859,27.8
162,1500909,25.2
163,1500958,23.8
164,1501006,28.1
165,1501105,36.6
166,1501204,34.2
167,1501253,36
168,1501303,23.2
169,1501402,18.3
170,1501451,23.3
171,1501501,12.2
172,1501576,23.3
173,1501600,23.2
174,1501709,23.6
175,1501725,17.4
176,1501758,28.3
177,1501782,23.7
178,1501808,39.9
179,1501907,24.2
180,1501956,22.6
181,1502004,29.1
182,1502103,29.4
183,1502152,15.3
184,1502202,20.7
185,1502301,25.9
186,1502400,23.5
187,1502509,39.2
188,1502608,19.8
189,1502707,15.2
190,1502756,30.5
191,1502764,32.8
192,1502772,13
193,1502806,43.8
194,1502855,20.4
195,1502905,25.2
196,1502939,17.4
197,1502954,22
198,1503002,18.2
199,1503044,16.9
200,1503077,32.8
201,1503093,24
202,1503101,35.9
203,1503200,23.6
204,1503309,27.8
205,1503408,23.3
206,1503457,24.3
207,1503507,22.8
208,1503606,26.4
209,1503705,27.5
210,1503754,31.5
211,1503804,22.3
212,1503903,13.6
213,1504000,32.3
214,1504059,24.2
215,1504109,23.3
216,1504208,16
